ProbeID	geneName	"absolute expression, parental strain t=0 (arbitrary units)"	wt t=0	wt t=10	wt t=20	wt t=30	wt t=45	wt t=60	wt t=90	wt t=120	gat1-deletion t=0	gat1-deletion t=10	gat1-deletion t=20	gat1-deletion t=30	gat1-deletion t=45	gat1-deletion t=60	gat1-deletion t=90	gat1-deletion t=120	gcn4-deletion t=0	gcn4-deletion t=10	gcn4-deletion t=20	gcn4-deletion t=30	gcn4-deletion t=45	gcn4-deletion t=60	gcn4-deletion t=90	gcn4-deletion t=120	leu3-deletion t=0	leu3-deletion t=10	leu3-deletion t=20	leu3-deletion t=30	leu3-deletion t=45	leu3-deletion t=60	leu3-deletion t=90	leu3-deletion t=120
10010_at	ATP14	9.452	0	-0.297601062	-0.940941493	-0.827178173	-0.373271104	-0.186618383	-0.249273084	-0.374259861	0.053039623	-0.505466715	-0.660144345	-0.441892248	0.081300102	-0.249454498	-0.718465362	-0.697028932	0.563591128	-0.038668026	0.189646842	0.53964284	0.578998099	0.53964284	-0.09183815	-0.278038164	-0.304181425	-0.635514992	-0.394379234	-0.299290291	-0.376833805	-0.376041333	-0.719972881	-0.492096351
10011_at		0.0699	0	0.580206732	-0.024626972	1.666067469	1.580206732	1.51049776	0.67246524	-0.714754315	0.443247519	1.253165714	0.319891827	-0.840285197	-0.652658194	1.488910898	-0.45283353	-2.138724939	1.496142467	1.939749119	-0.8043059	1.60717378	1.383667738	-1.922747358	1.2446037	-1.350700745	1.002033397	0.538786805	1.61383751	-0.556752481	-0.605455673	1.633645991	-0.294716135	-0.926609997
10012_at		1.565	0	-2.10904276	-2.237829066	-1.838081438	-1.604439876	-1.398549377	-1.261929316	-0.716536094	0.056016487	-1.184508325	-0.928119877	-0.557586062	-0.147302093	0.297774233	-0.915900971	-0.286439011	2.557526055	0.070126086	-0.908964924	-0.191855642	-1.165785271	-0.204538757	-0.896906507	-0.4416917	0.744133595	-0.803904323	-0.342573171	-0.465663573	-0.303392144	0.284220631	-1.031667916	-0.63702053
10013_at	YHC1	1.293	0	0.341858198	-0.088508449	-0.344683565	-0.390715627	-0.136723297	-0.095638752	-0.214793907	0.229383469	0.148207407	0.181031254	-0.499993968	-0.280984187	0.02979285	-0.168949784	-0.083774417	-0.51584792	0.129983648	0.126923849	0.447012944	-0.076702368	-0.079055868	0.094919999	0.271556836	0.135068938	-0.180274966	-0.131828652	0.132019916	-0.461104955	-0.131828652	-0.210917429	0.063257535
10014_at	ECM38	1.937	0	-0.618856661	-0.347652629	0.040373139	-0.53341261	-0.64422845	-0.643065456	-0.563900885	-0.99702537	-0.927414519	-0.903544568	-1.562800851	-0.906332385	0.07116899	-0.286449446	-1.084302501	0.787868874	-0.150515012	-0.342924028	0.085973223	0.136284859	0.563462922	-0.425497271	-1.322300356	1.167441449	0.501711911	0.143716225	-0.182260596	0.276249271	-0.399734175	-0.000744617	0.324605537
10015_at	EXG1	16.45	0	-0.51767093	-0.440666555	-0.795977435	-0.923904993	-0.830026279	-0.485391749	-0.909337209	0.340556815	0.109725018	0.018299711	-0.172108103	0.350220375	0.339171007	-0.103606771	-0.070078039	0.14425627	0.089262076	-0.011445828	0.239442205	0.009614506	0.400250894	0.229752648	-0.305556324	0.255693102	-0.060901142	-0.075612328	-0.134078659	0.184168475	-0.170133296	-0.151506232	0.212448526
10016_at		10.81	0	-0.162106218	0.035588107	-0.344760441	-0.068315719	-0.147842588	-0.046100747	-0.021511088	0.367868561	-0.22170311	0.036889473	-0.113221504	0.233577558	-0.086620703	0.178042387	0.099259857	-0.644073057	-0.442203472	-0.260341292	-0.268033975	-0.090878118	0.090513195	-0.018804596	0.197956486	-0.096574286	-0.002671411	0.149452002	0.272765383	-0.335974825	0.010636451	0.027755158	0.262789732
10017_at		0.0945	0	-0.333302884	-1.968619585	0.268061223	0.049010309	-0.899356923	-1.019773673	-1.121279793	-2.185111405	-0.945160612	0.520603255	-0.694785778	-0.369926368	0.466965292	-2.956842417	-2.431751372	-2.124569863	-1.775235611	-1.053866872	-0.87421736	-1.945160612	-1.729431921	-0.814548535	-1.456413427	-0.893732373	-2.098457023	-1.528669516	-1.790832466	-1.325709735	-0.777823405	-1.749609803	-1.927813369
10018_at	MET17	0.0799	0	-0.969997921	-0.295861238	1.970271232	1.519913197	-0.105407041	0.124638953	0.519913197	-1.008944201	0.161778089	0.965712951	-0.347112937	0.270741445	0.728021393	0.616128513	-0.225367665	-0.865580026	0.532296922	-1.48507021	1.208826662	0.851756761	0.684300015	0.214985455	-0.374593674	0.389852657	-0.421591153	0.482111165	1.028254417	-0.105407041	-2.460323548	-0.086348705	-0.246367964
10019_at	ACO1	30.98	0	-1.933076319	-1.867377334	-1.591403114	-0.621248397	-0.490539629	-0.863220565	-0.855616743	-0.76419889	-1.754817653	-0.588669343	-0.768952159	-0.473628534	-0.766573567	-1.379089171	-1.52289271	-0.836364899	-1.470334487	-0.778505938	-0.473628534	-0.032494505	0.187098767	-0.447992481	-1.746824863	-0.244517597	-0.258933024	-0.172424325	-0.275747189	0.122691377	-0.31866046	-0.719040429	-0.628429215
10020_at	STT4	1.679	0	-0.679446555	-0.575973717	-0.510897515	-0.246639968	-0.642783155	-0.668485856	-0.767339243	-0.328383117	-0.432315491	-0.216393681	-0.668485856	-0.059609489	-0.138706271	-0.777607579	-0.400228814	-0.701620979	-0.384449179	-0.64546724	-0.675326528	-0.506011159	-0.480625841	-0.669851398	-1.157739463	-0.528131278	-0.337034987	-0.316570885	-0.765878286	-0.292180751	-0.679446555	-0.418476583	-0.148191479
10021_at	UBC12	0.946	0	-0.265168796	-0.525276842	-0.198970307	-0.452592388	-0.120691707	-0.030795087	0.039075379	-0.152510995	-0.179861484	-0.826524684	-1.139027766	-0.230795752	-0.313573428	-0.636922198	-0.209500974	-1.054330601	-0.423696242	-0.810405019	-0.646429284	-0.216564367	-0.334551518	-0.714793107	0.361892837	-0.8844056	-0.512181184	-0.100950988	-0.391365589	-0.469368101	-1.306020034	-0.613425016	-0.484208592
10022_at	CDA1	0.015	0	0.03562391	-0.344648171	0.472487772	0.307428526	0.017921908	0.232660757	1.40599236	-0.427110331	0.053111337	0.439623138	0.053111337	-0.036525876	0.749534268	-0.202987022	0.153805336	0.10433666	0.700439718	0.03562391	0.765534747	0.09592442	0.185866546	0	1.632268216	-0.427110331	-0.540568381	-0.234465253	-0.152003093	-0.321928095	0.419538892	0.232660757	0.536052901
10023_at	CDA2	0.0559	0	0.65345903	-0.848504094	0.730358207	0.005062093	0.549887843	-0.441478409	1.587495767	0.774011152	0.296863803	0.319390372	1.708802063	1.08850649	0.610927524	-0.660431746	0.745560613	-0.928283168	-0.354623317	-0.086195652	-0.195182801	-0.834872229	0.133117376	-0.624807836	0.445767658	-0.89961941	-1.338503651	0.74707208	-0.890189997	-0.885498302	0.307146776	0.651846179	-0.380795373
10024_at	IMH1	2.147	0	-0.179274314	-0.228787207	-0.064557811	0.049513955	-0.417726586	-0.505582005	-0.366605592	-0.37094192	-0.129199063	-0.107328583	0.071412426	0.369493778	0.053402624	-0.087924671	-0.263034406	-0.165649601	-0.13804094	-0.312221955	-0.193028926	-0.050578099	-0.007407085	-0.473520796	-0.407891007	-0.077965199	0.482929984	-0.07089315	0.231002125	0.0514596	-0.49134945	-0.038800931	-0.298114385
10025_at	CDC25	0.601	0	-0.478732174	-0.824228741	-0.004800986	-0.183771127	-0.372532771	-0.219599206	-0.046267603	-0.375638682	-0.43920381	0.014307837	0.130514978	0.366293166	0.541167383	-0.753839413	-0.200196675	-0.162157314	-0.326729081	0.004785063	-0.432719777	-0.273617745	0.028475169	-0.308807173	-0.604263057	0.023768166	0.072442013	-0.656190849	-0.15680408	-0.49215269	-0.465435352	-0.442456788	0.311344756
10026_at		0.0238	0	-0.454350423	-0.035333073	0.641993446	0.13856083	-0.21948669	-0.047305715	0.090197809	0.545649577	-0.835255238	-0.206003461	0.721760722	-0.561878888	0.541658716	-0.553316874	0.240560544	0.707581787	0.381194044	1.15693936	0.195550809	0.250374834	0.693262116	-1.011681805	1.025943267	-0.659575562	-0.239950793	-0.146841388	0.833706249	-0.659575562	0.58883551	-0.605468156	0.505235308
10027_at		0.239	0	0.076102979	-0.415037499	-1.785875195	-1.337034987	-1.358453971	-0.439285046	-0.158697746	-0.687722075	-3.104697379	-1.485667296	-2.408639728	-0.359996136	-0.717066037	-1.271716649	-0.96437609	0.758445322	0.180572246	0.831201664	-0.074000581	-1.048909601	0.651530118	-1.40385995	-1.804652402	-0.042704451	-1.79627679	-1.306977753	0.126532406	0.058893689	0.081794091	-0.929610672	-3.184424571
10028_at	SPH1	0.977	0	-0.690516671	0.019050593	-0.198981034	0.397226223	0.204581146	0.071933895	0.046448923	0.218594188	-1.629909906	-1.348728154	-1.297066034	-0.2057702	0.172217854	-0.115108477	0.084509524	0.584962501	0.688361165	0.190430657	-0.116707031	-0.03131554	0.295128036	0.32015683	0.801018966	-0.311638835	-1.486607428	-0.867601464	-0.476309776	0.298730273	0.064899775	-0.005912693	-0.085067714
10029_at	CDC3	1.919	0	-0.525347644	0.241585987	0.094517599	-0.066899525	-0.097926421	-0.060616684	0.173260714	0.578938713	-0.238005611	-0.072419546	-0.034985358	0.17990909	0.03562391	0.341630009	0.03562391	0.182559885	-0.116542099	-0.099535674	0.189824559	0.681355556	0.71241236	0.537088947	0.665335917	0.149069639	-0.237119707	0.167919865	0.464886049	0.063934306	-0.09471329	0.449011043	0.257387843
10030_at	NKP2	0.656	0	-1.440886323	-0.797507136	-1.417235055	-0.264352538	0.01746097	-0.150296195	0.338955106	-0.160077216	-1.210002441	-1.315355441	-2.160077216	-0.318090409	0.032567862	-0.042336947	-0.199878224	0.309135424	0.14804508	-0.648943127	-0.22532324	-0.666262603	-0.138162439	0.105816844	-1.631829106	0.287708866	-0.083625155	-0.705113532	-0.618282574	-0.222758449	-0.282933964	0.310906688	0.326750967
10031_at	TAD3	7.054	0	0.468678448	0.517780139	-0.000409043	0.591559322	0.470598202	0.318857441	0.379533724	-0.066539784	0.688641147	0.474871547	-0.065041547	0.284515812	0.277447063	0.048261895	0.089782567	-0.135623418	0.729913844	0.70001494	0.43594796	0.201233711	0.372916568	0.270682568	0.328172036	-0.266514975	0.009782402	-0.394799028	-0.253780188	-0.07879798	0.21239616	0.188190494	0.381418779
10032_at	CDC46	2.389	0	-0.07431832	-0.277351066	-0.19627146	-0.189371901	-0.260621872	-0.355516163	-0.537170063	-0.730941806	-0.46623858	-0.386744548	0.078129588	0.286485265	0.384997739	-0.511988469	-0.632207853	-0.232690939	-0.242655325	-0.296498908	-0.357834988	-0.062923566	0.231504391	-0.262792971	-0.471250844	-0.595261018	-0.279547507	0.053329503	0.103072678	0.122610344	-0.326462499	-0.190060374	0.139696903
10033_at	SMD2	1.652	0	0.243557031	-0.231439391	-0.103093493	-0.01139091	-0.38480932	-0.064249357	0.138058818	-0.38480932	0.11002889	-0.322364548	-0.735221102	-0.030875117	-0.238629769	-0.396250261	-0.209071578	-0.515945327	0.11002889	0.091308184	-0.087244665	0.034495248	-0.004370482	0.038749734	0.661172416	-0.542394427	-0.335519913	-0.205041701	-0.238629769	-0.901337365	-0.471702489	-0.201023049	-0.002620701
10034_at	DBP9	5.904	0	0.367096419	-0.658127501	-0.854854068	-0.068545909	-0.310369439	-0.669351745	-0.767417219	-0.415281838	-0.324985301	0.119512205	0.043320203	0.520595229	0.207834679	-0.761192436	-0.388809627	-1.119922494	0.227374866	-0.070853606	0.140720483	-0.407159448	-0.608485559	-0.383381753	-0.197925006	-0.754994395	-0.563019487	-0.129244843	-0.171819706	-0.569531161	-0.058333904	-0.385295142	-0.620455096
10035_at	YSH1	2.832	0	-0.028284003	-0.253795766	-0.219594282	0.018217366	-0.135518829	-0.248946366	-0.232100695	-0.235693959	-0.308874236	-0.262321637	-0.418947014	-0.054486958	0.173936806	-0.580894271	-0.458286269	-0.204845686	-0.184447719	-0.113865505	-0.22256218	-0.047102031	0.290941052	-0.330483288	-0.168334484	-0.613246503	-0.372717864	-0.399336609	-0.160914078	-0.445053637	-0.451306599	-0.412154652	-0.379326648
10036_at		0.56	0	-0.025948452	-0.524526647	-2.055041364	-0.54689446	-0.608295005	-0.005152488	-0.565802922	-0.855732555	-0.714004446	-0.421050527	-0.041744541	0.484691883	0.050537393	-0.509805141	-0.210016024	0.137269718	0.335748589	-0.071161029	0.359996136	0.379895693	-0.240073257	-0.577268109	-2.445356433	-0.513471458	0.517399217	-0.186413124	-0.267670816	-0.036459938	-0.58882514	-0.055041364	-0.267670816
10037_at		0.244	0	-0.397479128	0.394278939	1.862643683	0.767265635	-1.222392421	-0.405256478	0.455679484	0.213109181	-0.936637939	-0.017774701	-0.838605856	0.81490612	0.838149121	-1.629209413	0.97924144	0.985202998	-0.110089451	0.282530582	0.398752416	0.407657969	-0.579085934	-0.243150981	0.982225299	-0.405256478	0.052046748	0.873933696	0.674386859	0.118644497	0.107756181	0.248237404	0.763801779
10038_i_at		6.637	0	-0.410841722	-0.965213883	-0.210200661	-1.426237587	-0.875157521	-1.604436499	-1.060814793	-1.133336641	-1.301534399	-1.763580021	-1.905370025	-1.781400465	-1.448012309	-1.792651068	-1.631790149	0.462234541	-0.62138807	-0.648386659	-0.597185103	-0.741609622	-0.404211281	-0.82693907	-0.50918084	-0.84751884	-1.585397243	-1.312288791	-1.468315471	-1.617714964	-1.350573317	-1.490129	-1.768014538
10039_s_at		0.707	0	-0.609624555	-0.875148512	-2.548742312	-1.369573467	-0.987825286	-1.809394067	-0.849220047	-1.037152998	-1.385456508	-1.634715535	-2.28769646	-1.31785843	-0.69281849	-1.168397531	-3.332152765	0.109823278	-0.481763613	-0.569760094	-0.272848695	-0.777607578	-0.860275236	-0.995930335	-1.5849625	-0.280253476	-0.66670565	-0.867692707	-0.726138563	-1.603419405	-0.767165832	-1	-1.18683478
10040_at		0.491	0	-0.273629521	-1.249027548	-1.813231489	-0.357552005	-0.516249751	-1.194321656	0.199592552	-0.563136139	-1.313157886	-0.652495659	-1.88723207	-0.207804885	-0.277178588	-1.174330181	-0.671051478	1.244837568	0.257157839	0.099144646	0.3336099	-0.228268988	0.303038201	-0.093891565	-0.059871456	0.160773303	-0.58936768	-0.638733757	-1.93128725	-0.602664503	-0.558810213	-0.342601663	0.139634536
10041_at		0.242	0	-0.150025444	-1.14345279	1.738745601	-0.994075166	-1.196892049	-1.845861162	0.114106486	-2.22714987	-1.619206714	-0.457206954	0.224934616	0.250113179	-0.295455884	-0.385653693	-0.639410285	-1.183345517	-0.117457582	-0.091922489	0.602664502	-1.210566986	0.454565863	-0.705643983	0.637429921	-0.280956314	-0.498547749	0.351311902	0.269944351	-1.707581787	-1.396553761	-0.245332404	0.269944351
10042_at		0.418	0	-0.909906534	-0.175531057	0.196084162	0.112560806	-0.430035664	-0.501353068	0.047416781	-0.074181813	-0.566148191	-0.327102141	0.073828412	0	0.228772781	-0.144752395	-0.402467404	0.376656408	-1.081449814	0.249195498	0.07055328	-0.160059648	-0.407025685	-0.133377606	0.308784295	-0.384376947	0	-0.327102141	0.397718023	-0.133377606	0.030660553	0.319860703	0.216971528
10043_at	ECI1	2.289	0	-0.157613971	-0.463295525	-1.08699042	-0.781753516	-0.783921352	-0.91201843	-0.843719269	-0.055223374	-0.864215676	-1.368341588	-1.786092451	-1.82128188	-1.701700264	-1.215688046	-1.471133911	0.300347565	-1.50828691	-1.307822327	-0.825741528	-0.637569927	-0.889668855	-0.682362263	-0.273911267	-0.330616676	-0.64839142	-1.166778446	-1.255744878	-1.263286427	-1.214225608	-1.481651783	-1.105849447
10044_at	NNT1	5.452	0	-0.472153791	-0.16461035	-0.673897758	-0.42450479	-0.62533994	-0.523710783	-0.601459746	-0.199122642	-0.490621722	-0.637635711	-0.426992503	-0.05116476	-0.418127444	-0.488021936	-0.751501687	-1.110195516	-0.969890944	-0.887803095	-0.926502187	-0.364688185	-0.692162653	-0.671367453	-0.714129773	-0.577968401	-0.617200595	-0.81478194	-0.52181025	-0.521430443	-0.813386458	-0.541699255	-0.342378024
10045_at	CTS1	24.32	0	-0.076747475	0.067219348	0.058131833	0.400865045	0.064385644	-0.09627259	-0.625843476	0.670913663	0.308567118	0.625111175	0.584942727	1.095226647	0.969698289	-0.252855683	0.382780824	0.80359599	0.819817229	0.380959872	0.172025996	-0.50138854	-0.63594771	0.191895982	-0.7701274	0.251908869	-0.064289429	-0.17310949	0.012991488	0.603801241	0.404006608	0.149741271	0.567436492
10046_at		0.531	0	0.356228552	0.021533161	-0.072288861	-0.172639386	0.454492569	-0.127504474	-0.06376059	0.005413496	0.248498313	0.330579965	0.225488334	0.368883853	0.104588901	-0.765263589	-0.19419553	-0.389946518	0.476099025	-0.675904069	0.209160165	-0.254382536	-0.344476002	-0.109838599	0.117145073	-0.512250615	-0.09238643	-0.300394933	0.227805917	-0.386397451	0.029525952	-0.303738377	0.094464684
10047_f_at	RPS30A	144.1	0	0.120934039	-0.174310525	-0.750875269	0.155501939	0.162675035	0.11816939	0.218810944	-0.050947556	-0.072893923	-0.471870808	0.184863817	0.257850727	0.00200095	-0.205140711	0.131939961	-0.501328614	-0.042674072	0	0.255336605	-0.502746482	-0.768333726	-0.290728561	-0.424072921	-0.226066381	-0.29195377	-0.25325417	-0.242554369	-0.505586406	0.028745622	0.07605102	-0.039583708
10048_at	MEC3	1.426	0	-0.121217615	-0.357236102	-0.511543361	0.163282073	0.250851124	0.410734344	0.270261762	0.023067565	-0.075757596	-0.177273425	-0.320159931	-0.438479899	0.024062184	-0.301350082	0.073899478	0.172282072	0.333407686	-0.030653314	0.354120395	-0.245149943	-0.183000685	0.125783609	0.31483369	-0.727225561	-0.362425658	-0.673025748	-0.336662562	-0.528942909	-0.252357427	0.202468792	0.337414062
10049_at	GUF1	0.446	0	-0.093324588	0.31221294	-0.268855645	0.215459707	0.424687669	0.327725939	0.012852602	0.267331341	0.488190611	0.31221294	0.57741193	0.226536115	0.415037499	0.164535772	0.56437544	0.474318437	-0.100227448	0.617933745	0.405322344	0.240263098	0.673627245	0.492785185	0.33286009	0.407757273	0.251151414	-0.052586963	0.353215914	0.261958169	0.248437029	0.36579398	0.15587091
10050_at		4.9	0	0.184860169	0.091526311	-1.202900197	-0.237186389	0.207725906	-0.976930405	0.224955346	0.539813867	1.214211083	0.290202227	-0.64691349	-0.755034694	-0.885995372	-0.110383849	-0.007082175	0.705841426	-0.642311588	-0.931307788	-0.328123094	-0.684266904	-0.86065117	-0.407501783	0.362733607	-0.009450646	0.046346327	-1.260975304	-0.501053759	-0.79278397	-0.779585401	-0.237186389	0.084325284
10051_at	GCD7	3.516	0	0.148018597	0.032849852	-2.876247774	0.667728485	0.543488144	-0.378716741	-0.443065281	-0.235165187	-0.162203063	0.101749088	0.495121924	0.993421727	0.497738927	0.695857071	-0.01899397	-0.0883861	0.953309463	-0.111687792	0.250537517	0.324469134	-0.244368242	0.384148819	-0.562171922	-0.176039758	0.336214342	-0.170489145	0.177335227	0.715475612	-0.79357647	0.433582178	0.929385041
10052_at	SEC72	4.364	0	0.033647532	-0.485823499	-0.621615503	-0.11377057	-0.199982235	0.351695674	0.468328019	-0.146687944	-0.400458608	-0.34819375	-0.158444118	-0.013615131	-0.034112599	0.000991202	0.14245274	-0.361720436	-0.202261975	-0.462864787	-0.006293479	-0.273183761	-0.544389375	0.155568239	0.908410161	-0.184875343	-0.861745503	-0.270789246	0.062102717	-0.446557856	0.135850005	0.056392834	0.298134234
10053_at	GSP1	28.45	0	-0.087808331	-0.021456148	-0.156794501	0.003545205	-0.107340434	0.075569143	-0.234008953	-0.379460175	-0.665219055	-0.168714854	0.136345994	0.568797825	0.337151189	-0.044804596	-0.352665377	-1.043706555	0.264715244	-0.256245383	-0.027128748	-0.042713809	-0.504805171	-0.203325967	-0.576342579	-0.330179026	-0.790304078	-0.262314531	-0.147216314	0.089933489	-0.332092754	-0.107340434	-0.003553938
10054_at		10.9	0	-0.27710492	-1.145679109	-0.91756725	-0.867208433	-0.436145825	-0.519440333	-0.718250378	-0.156701638	-0.830972284	-1.03767672	-0.722174894	-0.228382431	-0.368803752	-0.882010412	-0.77125013	0.311807979	-0.513949394	-0.243657434	0.003964903	0.049434474	0.259699868	-0.347766904	-0.101418093	-0.415875929	-1.317435361	-1.118701217	-0.687232747	-0.7624676	-0.592792075	-0.891554185	-0.698571552
10055_at		1.621	0	0.166957102	0.342066445	0.039480284	-0.164708898	0.073689238	-0.228929877	0.136532883	0.143796817	0.161400636	-0.052533307	-0.188838158	0.286997792	0.095497834	-0.200033731	-0.118593672	-0.071101067	-0.172707228	0.12352822	0.16616463	0.368487622	0.273815716	-0.151805451	0.027312905	0.146210024	-0.162716225	-0.031471692	0.029928853	-0.2216514	0.074534155	0.006212784	0.111228955
10056_at	NDL1	2.167	0	0.141249373	-0.419480666	-0.333956192	-0.43109735	-0.273989269	-0.408839966	-0.090627196	-0.338156181	-0.52660127	-0.360195429	0.058041662	0.427625963	-0.039121758	0.009947373	-0.27559942	0.167557015	-0.347439421	0.410705579	0.270997784	0.5639596	0.291259919	0.121810662	0.905825483	-0.318936675	-0.204864908	0.041325757	0.264364692	-0.112043151	-0.259578211	0.119974782	0.221060907
10057_at		0.122	0	0.324272035	-2.483082887	1.631132682	-0.109624491	-0.893755194	1.487938046	-0.148098639	0.627341103	0.557331381	-0.541635069	0.057485494	-0.256013978	0.785405949	-1.581448017	-0.214594051	-0.368110197	-0.284303023	1.074293782	0.011681805	-1.275757914	0.134301091	-0.354549517	0.361266243	-0.700293111	-0.214594051	-0.940262054	1.383914981	-0.63508598	0.771731012	0.516917113	1.26693886
10058_at	HAP1	1.915	0	-0.145658631	-0.33592577	0.123333039	0.335119912	0.14936528	0.291490362	0.409568095	0.542167561	0.472243544	0.869669501	0.410701399	0.667396773	0.498064278	0.43206672	0.09893317	0.318913057	0.50550909	0.679671085	0.534910007	0.778234919	0.163552515	0.202026663	-0.102981946	0.327339335	0.865129475	0.321325591	0.050314465	0.815934757	0.392460839	0.620170073	0.465170161
10059_at		9.12	0	-1.145147673	-0.720608689	-0.549265293	-0.704280519	-0.625301729	-0.424718455	-0.297967266	0.27952163	-0.671916313	-0.480563309	-0.629210812	-0.042862633	-0.186309497	-0.047922721	0.339504324	-0.213378422	-1.378132058	-0.777223496	-0.313805101	-0.20187114	-0.444385072	-0.397169618	-0.009362515	-0.126897568	-0.044819272	-0.690941138	-0.819027725	-0.640755381	-0.047759215	0.230481711	0.301506472
